order_number,line_item,order_date,customerkey,storekey,productkey,quantity,currency_code,gender,customers_city,customers_state,customers_country,customers_continent,age,product_name,brand,color,_unit_cost_usd_,_unit_price_usd_,subcategorykey,subcategory,categorykey,category,store_country,store_state,square_meters,open_date,exchange,total_price
1009007,3,2017-10-05,1785720,0,1641,3,USD,Male,Portland,Oregon,United States,North America,37,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,0,2010-01-01,1,37.98
1009007,4,2017-10-05,1785720,0,449,6,USD,Male,Portland,Oregon,United States,North America,37,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Black,160.49,349,303,Desktops,3,Computers,Online,Online,0,2010-01-01,1,2094
1009008,1,2017-10-05,1441326,43,1031,9,USD,Male,El Paso,Texas,United States,North America,23,A. Datum Ultra Compact Digital Camera M190 Azure,A. Datum,Azure,75.88,165,401,Digital Cameras,4,Cameras and camcorders,United States,Alaska,1190,2015-01-01,1,1485
1009008,2,2017-10-05,1441326,43,87,2,USD,Male,El Paso,Texas,United States,North America,23,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Purple,45.98,99.99,106,Bluetooth Headphones,1,Audio,United States,Alaska,1190,2015-01-01,1,199.98
1009008,3,2017-10-05,1441326,43,42,10,USD,Male,El Paso,Texas,United States,North America,23,Contoso 16GB New Generation MP5 Player M1650 White,Contoso,White,106.69,232,101,MP4&MP3,1,Audio,United States,Alaska,1190,2015-01-01,1,2320
1009010,1,2017-10-05,158951,0,1584,1,AUD,Female,WARRABKOOK,Victoria,Australia,Australia,26,SV DVD 38 DVD Storage Binder E25 Black,Southridge Video,Black,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,0,2010-01-01,1.2787,9.99
1009010,2,2017-10-05,158951,0,533,1,AUD,Female,WARRABKOOK,Victoria,Australia,Australia,26,WWI LCD20W M250 White,Wide World Importers,White,128.3,279,304,Monitors,3,Computers,Online,Online,0,2010-01-01,1.2787,279
1009011,1,2017-10-05,1785720,59,108,2,USD,Male,Portland,Oregon,United States,North America,37,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Yellow,61.16,132.99,106,Bluetooth Headphones,1,Audio,United States,Oregon,2000,2012-08-08,1,265.98
1009011,2,2017-10-05,1785720,59,1305,2,USD,Male,Portland,Oregon,United States,North America,37,Contoso Lens Adapter M450 Silver,Contoso,Silver,31.27,68,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,United States,Oregon,2000,2012-08-08,1,136
1009013,1,2017-10-05,1987493,0,2408,2,USD,Male,Holden,Missouri,United States,North America,73,Proseware Air conditioner 7000BTU E260 Grey,Proseware,Grey,152.94,299.99,807,Air Conditioners,8,Home Appliances,Online,Online,0,2010-01-01,1,599.98
1009013,2,2017-10-05,1987493,0,2115,1,USD,Male,Holden,Missouri,United States,North America,73,Contoso Water Heater 4.3GPM M1250 Yellow,Contoso,Yellow,403.53,877.5,804,Water Heaters,8,Home Appliances,Online,Online,0,2010-01-01,1,877.5
1009014,1,2017-10-05,729368,29,459,5,EUR,Male,Armo,Imperia,Italy,Europe,64,WWI Desktop PC1.80 E1801 White,Wide World Importers,White,137.6,269.9,303,Desktops,3,Computers,Italy,Enna,1000,2008-01-01,0.8516,1349.5
1009014,2,2017-10-05,729368,29,443,3,EUR,Male,Armo,Imperia,Italy,Europe,64,WWI Desktop PC3.0 M0300 Silver,Wide World Importers,Silver,160.49,349,303,Desktops,3,Computers,Italy,Enna,1000,2008-01-01,0.8516,1047
1009014,3,2017-10-05,729368,29,98,5,EUR,Male,Armo,Imperia,Italy,Europe,64,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Silver,55.18,120,106,Bluetooth Headphones,1,Audio,Italy,Enna,1000,2008-01-01,0.8516,600
1009014,4,2017-10-05,729368,29,1580,3,EUR,Male,Armo,Imperia,Italy,Europe,64,SV DVD Recorder L230 Grey,Southridge Video,Grey,72.56,219,602,Movie DVD,6,"Music, Movies and Audio Books",Italy,Enna,1000,2008-01-01,0.8516,657
1010000,1,2017-10-06,1952261,43,1989,2,USD,Female,Scranton,Pennsylvania,United States,North America,62,Fabrikam Microwave 1.5CuFt X1100 Silver,Fabrikam,Silver,220.64,665.94,803,Microwaves,8,Home Appliances,United States,Alaska,1190,2015-01-01,1,1331.88
1010000,2,2017-10-06,1952261,43,681,6,USD,Female,Scranton,Pennsylvania,United States,North America,62,Proseware Scan Jet Digital Flat Bed Scanner M300 Grey,Proseware,Grey,55.64,121,306,"Printers, Scanners & Fax",3,Computers,United States,Alaska,1190,2015-01-01,1,726
1010000,3,2017-10-06,1952261,43,1511,2,USD,Female,Scranton,Pennsylvania,United States,North America,62,The Phone Company Microsoft Windows Mobile M200 Gold,The Phone Company,Gold,105.31,229,504,Smart phones & PDAs,5,Cell phones,United States,Alaska,1190,2015-01-01,1,458
1010001,1,2017-10-06,571622,20,2516,2,EUR,Male,Birkenwerder,Brandenburg,Germany,Europe,37,Contoso In-Line Coupler E180 Black,Contoso,Black,1.71,3.35,505,Cell phones Accessories,5,Cell phones,Germany,Brandenburg,1715,2012-12-15,0.8542,6.7
1010001,2,2017-10-06,571622,20,989,1,EUR,Male,Birkenwerder,Brandenburg,Germany,Europe,37,A. Datum Ultra Compact Digital Camera M190 Silver,A. Datum,Silver,75.88,165,401,Digital Cameras,4,Cameras and camcorders,Germany,Brandenburg,1715,2012-12-15,0.8542,165
1010001,3,2017-10-06,571622,20,1699,2,EUR,Male,Birkenwerder,Brandenburg,Germany,Europe,37,SV Hand Games men M30 Red,Southridge Video,Red,3.16,6.88,701,Boxed Games,7,Games and Toys,Germany,Brandenburg,1715,2012-12-15,0.8542,13.76
1010001,4,2017-10-06,571622,20,605,1,EUR,Male,Birkenwerder,Brandenburg,Germany,Europe,37,Contoso Screen 125in M250 Silver,Contoso,Silver,152.08,459,305,Projectors & Screens,3,Computers,Germany,Brandenburg,1715,2012-12-15,0.8542,459
1010003,1,2017-10-06,176800,4,681,1,AUD,Female,TABULAM,New South Wales,Australia,Australia,82,Proseware Scan Jet Digital Flat Bed Scanner M300 Grey,Proseware,Grey,55.64,121,306,"Printers, Scanners & Fax",3,Computers,Australia,Tasmania,2000,2010-01-01,1.2864,121
1010003,2,2017-10-06,176800,4,890,4,AUD,Female,TABULAM,New South Wales,Australia,Australia,82,Contoso Bluetooth Notebook Mouse E70 Grey,Contoso,Grey,25.49,50,308,Computers Accessories,3,Computers,Australia,Tasmania,2000,2010-01-01,1.2864,200
1010003,3,2017-10-06,176800,4,114,3,AUD,Female,TABULAM,New South Wales,Australia,Australia,82,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio,Australia,Tasmania,2000,2010-01-01,1.2864,749.97
1010003,4,2017-10-06,176800,4,185,1,AUD,Female,TABULAM,New South Wales,Australia,Australia,82,SV 22xDVD X680 Silver,Southridge Video,Silver,55.99,169,202,VCD & DVD,2,TV and Video,Australia,Tasmania,2000,2010-01-01,1.2864,169
1010003,5,2017-10-06,176800,4,825,3,AUD,Female,TABULAM,New South Wales,Australia,Australia,82,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Grey,7.09,13.9,308,Computers Accessories,3,Computers,Australia,Tasmania,2000,2010-01-01,1.2864,41.7
1010004,1,2017-10-06,930705,0,449,2,GBP,Female,SHAMBELLIE,Dumfriesshire,United Kingdom,Europe,24,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Black,160.49,349,303,Desktops,3,Computers,Online,Online,0,2010-01-01,0.7648,698
1010005,1,2017-10-06,1230421,54,2028,1,USD,Female,Hattiesburg,Mississippi,United States,North America,46,Litware Microwave 1.0CuFt E110 Silver,Litware,Silver,71.37,139.99,803,Microwaves,8,Home Appliances,United States,Nebraska,2000,2013-06-07,1,139.99
1010005,2,2017-10-06,1230421,54,1810,4,USD,Female,Hattiesburg,Mississippi,United States,North America,46,MGS Bicycle Card Games2009 E166,Tailspin Toys,Blue,16.31,32,702,Download Games,7,Games and Toys,United States,Nebraska,2000,2013-06-07,1,128
1010005,3,2017-10-06,1230421,54,685,1,USD,Female,Hattiesburg,Mississippi,United States,North America,46,"Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Grey",Proseware,Grey,72.66,158,306,"Printers, Scanners & Fax",3,Computers,United States,Nebraska,2000,2013-06-07,1,158
1010006,1,2017-10-06,1361958,0,1793,1,USD,Male,Atlanta,Georgia,United States,North America,72,MGS Halo: Combat Evolved2009 E149,Tailspin Toys,Pink,21.92,43,702,Download Games,7,Games and Toys,Online,Online,0,2010-01-01,1,43
1010006,2,2017-10-06,1361958,0,1987,6,USD,Male,Atlanta,Georgia,United States,North America,72,Fabrikam Microwave 0.9CuFt E0900 White,Fabrikam,White,50.98,99.99,803,Microwaves,8,Home Appliances,Online,Online,0,2010-01-01,1,599.94
1010007,1,2017-10-06,1506511,0,1427,2,USD,Male,Salt Lake City,Utah,United States,North America,54,"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",The Phone Company,Grey,105.77,230,503,Touch Screen Phones,5,Cell phones,Online,Online,0,2010-01-01,1,460
1010007,2,2017-10-06,1506511,0,1954,6,USD,Male,Salt Lake City,Utah,United States,North America,54,Litware Refrigerator 4.6CuFt E280 Silver,Litware,Silver,152.94,299.99,802,Refrigerators,8,Home Appliances,Online,Online,0,2010-01-01,1,1799.94
1010008,1,2017-10-06,1223141,48,2031,3,USD,Female,Jackson,Mississippi,United States,North America,38,Litware Microwave 1.5CuFt X110 Grey,Litware,Grey,220.64,665.94,803,Microwaves,8,Home Appliances,United States,Idaho,1540,2012-12-15,1,1997.82
1010008,2,2017-10-06,1223141,48,837,9,USD,Female,Jackson,Mississippi,United States,North America,38,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey,Contoso,Grey,6.07,11.9,308,Computers Accessories,3,Computers,United States,Idaho,1540,2012-12-15,1,107.1
1010009,1,2017-10-06,1562994,45,4,1,USD,Male,California,California,United States,North America,76,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11,21.57,101,MP4&MP3,1,Audio,United States,Connecticut,2000,2007-07-08,1,21.57
1011000,1,2017-10-07,736718,30,2502,3,EUR,Female,Marina Di Fiumefreddo Bruzio,Cosenza,Italy,Europe,83,Contoso Touch Stylus Pen E150 Black,Contoso,Black,5.09,9.99,505,Cell phones Accessories,5,Cell phones,Italy,Pesaro,2100,2008-01-12,0.8542,29.97
1011000,2,2017-10-07,736718,30,1283,3,EUR,Female,Marina Di Fiumefreddo Bruzio,Cosenza,Italy,Europe,83,Contoso Mini Battery Charger Kit E320 White,Contoso,White,12.74,24.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Italy,Pesaro,2100,2008-01-12,0.8542,74.97
1011001,1,2017-10-07,1108629,38,449,5,GBP,Female,WARBSTOW,Cornwall,United Kingdom,Europe,51,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Black,160.49,349,303,Desktops,3,Computers,United Kingdom,Belfast,1800,2015-04-04,0.7648,1745
1011001,2,2017-10-07,1108629,38,73,1,GBP,Female,WARBSTOW,Cornwall,United Kingdom,Europe,51,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,White,22.05,47.95,106,Bluetooth Headphones,1,Audio,United Kingdom,Belfast,1800,2015-04-04,0.7648,47.95
1011002,1,2017-10-07,343007,9,2145,5,CAD,Male,Streetsville,Ontario,Canada,North America,43,Adventure Works Coffee Maker 4C E080 Black,Adventure Works,Black,66.23,129.9,805,Coffee Machines,8,Home Appliances,Canada,Northwest Territories,1500,2005-03-04,1.2575,649.5
1011002,2,2017-10-07,343007,9,1583,3,CAD,Male,Streetsville,Ontario,Canada,North America,43,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",Canada,Northwest Territories,1500,2005-03-04,1.2575,41.67
1011002,3,2017-10-07,343007,9,1479,3,CAD,Male,Streetsville,Ontario,Canada,North America,43,The Phone Company Smart phones Unlocked International M800 Black,The Phone Company,Black,142.56,310,504,Smart phones & PDAs,5,Cell phones,Canada,Northwest Territories,1500,2005-03-04,1.2575,930
1011003,1,2017-10-07,1301181,0,2444,2,USD,Female,Paducah,Kentucky,United States,North America,87,Litware 80mm Dual Ball Bearing Case Fan E1001 White,Litware,White,2.54,4.99,808,Fans,8,Home Appliances,Online,Online,0,2010-01-01,1,9.98
1011003,2,2017-10-07,1301181,0,1203,2,USD,Female,Paducah,Kentucky,United States,North America,87,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,Fabrikam,Grey,324.69,980,405,Camcorders,4,Cameras and camcorders,Online,Online,0,2010-01-01,1,1960
1011004,1,2017-10-07,1867076,0,421,1,USD,Male,Penns Neck,New Jersey,United States,North America,75,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Silver,215.68,469,303,Desktops,3,Computers,Online,Online,0,2010-01-01,1,469
1011004,2,2017-10-07,1867076,0,2435,2,USD,Male,Penns Neck,New Jersey,United States,North America,75,"Litware 14"" High Velocity Floor Fan E801 Silver",Litware,Silver,22.94,44.99,808,Fans,8,Home Appliances,Online,Online,0,2010-01-01,1,89.98
1011005,1,2017-10-07,909122,40,169,2,GBP,Male,PRISTON,Bath and North East Somerset,United Kingdom,Europe,39,SV 16xDVD M320 Black,Southridge Video,Black,54.72,119,202,VCD & DVD,2,TV and Video,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.7648,238
1011007,1,2017-10-07,2067958,0,1662,1,USD,Female,Little Rock,Arkansas,United States,North America,72,MGS Hand Games for students E400 Yellow,Tailspin Toys,Yellow,3.56,6.99,701,Boxed Games,7,Games and Toys,Online,Online,0,2010-01-01,1,6.99
1011007,2,2017-10-07,2067958,0,78,3,USD,Female,Little Rock,Arkansas,United States,North America,72,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,Online,Online,0,2010-01-01,1,121.65
1011007,3,2017-10-07,2067958,0,1253,1,USD,Female,Little Rock,Arkansas,United States,North America,72,Contoso General Carrying Case E304 Silver,Contoso,Silver,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,0,2010-01-01,1,19.99
1011008,1,2017-10-07,1826576,47,528,2,USD,Male,Bridgeview,Illinois,United States,North America,58,WWI LCD24 X300 White,Wide World Importers,White,271.35,819,304,Monitors,3,Computers,United States,Hawaii,1120,2015-04-04,1,1638
1011008,2,2017-10-07,1826576,47,1340,1,USD,Male,Bridgeview,Illinois,United States,North America,58,Contoso Phone with Memory Dialing-single line E88 Black,Contoso,Black,7.23,14.19,501,Home & Office Phones,5,Cell phones,United States,Hawaii,1120,2015-04-04,1,14.19
1011011,1,2017-10-07,1927276,45,32,6,USD,Male,Concord,Massachusetts,United States,North America,51,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,84.49,255,101,MP4&MP3,1,Audio,United States,Connecticut,2000,2007-07-08,1,1530
1011012,1,2017-10-07,326396,10,442,2,CAD,Female,St Odilon De Cranbourne,Quebec,Canada,North America,43,WWI Desktop PC1.80 E1801 Silver,Wide World Importers,Silver,137.6,269.9,303,Desktops,3,Computers,Canada,Nunavut,1210,2015-04-04,1.2575,539.8
1011013,1,2017-10-07,1524551,0,80,5,USD,Female,Woburn,Massachusetts,United States,North America,67,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Yellow,18.65,40.55,106,Bluetooth Headphones,1,Audio,Online,Online,0,2010-01-01,1,202.75
1011013,2,2017-10-07,1524551,0,793,3,USD,Female,Woburn,Massachusetts,United States,North America,67,Contoso Connectivity Starter Kit Smart Buy M680 White,Contoso,White,12.83,27.9,308,Computers Accessories,3,Computers,Online,Online,0,2010-01-01,1,83.7
1011013,3,2017-10-07,1524551,0,121,1,USD,Female,Woburn,Massachusetts,United States,North America,67,"Adventure Works 13"" Color TV E25 White",Adventure Works,White,61.17,119.99,201,Televisions,2,TV and Video,Online,Online,0,2010-01-01,1,119.99
1011014,1,2017-10-07,1592641,51,2096,6,USD,Female,Tempe,Arizona,United States,North America,75,Contoso Water Heater 4.3GPM M1250 Green,Contoso,Green,403.53,877.5,804,Water Heaters,8,Home Appliances,United States,Maine,1295,2010-01-01,1,5265
1011014,2,2017-10-07,1592641,51,301,3,USD,Female,Tempe,Arizona,United States,North America,75,SV Car Video TFT7 M7002 Black,Southridge Video,Black,162.64,319,205,Car Video,2,TV and Video,United States,Maine,1295,2010-01-01,1,957
1011014,3,2017-10-07,1592641,51,405,3,USD,Female,Tempe,Arizona,United States,North America,75,Proseware Laptop15 M510 Black,Proseware,Black,321.44,699,301,Laptops,3,Computers,United States,Maine,1295,2010-01-01,1,2097
1011014,4,2017-10-07,1592641,51,1412,3,USD,Female,Tempe,Arizona,United States,North America,75,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black,The Phone Company,Black,132.9,289,503,Touch Screen Phones,5,Cell phones,United States,Maine,1295,2010-01-01,1,867
1011015,1,2017-10-07,522581,0,1426,3,EUR,Male,Adelsdorf,Freistaat Bayern,Germany,Europe,53,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Grey",The Phone Company,Grey,195.15,589,503,Touch Screen Phones,5,Cell phones,Online,Online,0,2010-01-01,0.8542,1767
1011015,2,2017-10-07,522581,0,424,2,EUR,Male,Adelsdorf,Freistaat Bayern,Germany,Europe,53,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,Online,Online,0,2010-01-01,0.8542,539.9
1011015,3,2017-10-07,522581,0,87,1,EUR,Male,Adelsdorf,Freistaat Bayern,Germany,Europe,53,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Purple,45.98,99.99,106,Bluetooth Headphones,1,Audio,Online,Online,0,2010-01-01,0.8542,99.99
1011016,1,2017-10-07,1081604,40,1821,6,GBP,Female,GIPPING,Mid Suffolk,United Kingdom,Europe,43,MGS Combat Flight Simulator 2009 E177,Tailspin Toys,Blue,16.31,32,702,Download Games,7,Games and Toys,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.7648,192
1011016,2,2017-10-07,1081604,40,1684,2,GBP,Female,GIPPING,Mid Suffolk,United Kingdom,Europe,43,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,5.6,16.89,701,Boxed Games,7,Games and Toys,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.7648,33.78
1011016,3,2017-10-07,1081604,40,81,7,GBP,Female,GIPPING,Mid Suffolk,United Kingdom,Europe,43,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Black,18.65,40.55,106,Bluetooth Headphones,1,Audio,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.7648,283.85
1011016,4,2017-10-07,1081604,40,2106,1,GBP,Female,GIPPING,Mid Suffolk,United Kingdom,Europe,43,Contoso Water Heater 4.3GPM M1250 Grey,Contoso,Grey,403.53,877.5,804,Water Heaters,8,Home Appliances,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06,0.7648,877.5
1011017,1,2017-10-07,1886283,51,1425,4,USD,Female,Cambridge,Massachusetts,United States,North America,75,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",The Phone Company,Grey,175.27,529,503,Touch Screen Phones,5,Cell phones,United States,Maine,1295,2010-01-01,1,2116
1011017,2,2017-10-07,1886283,51,1575,6,USD,Female,Cambridge,Massachusetts,United States,North America,75,SV DVD Player M140 Gold,Southridge Video,Gold,28.05,60.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Maine,1295,2010-01-01,1,365.94
1011017,3,2017-10-07,1886283,51,436,4,USD,Female,Cambridge,Massachusetts,United States,North America,75,Adventure Works Desktop PC1.80 ED180 White,Adventure Works,White,188.13,369,303,Desktops,3,Computers,United States,Maine,1295,2010-01-01,1,1476
1011018,1,2017-10-07,85597,6,422,2,AUD,Male,COOLANA,Queensland,Australia,Australia,22,Adventure Works Desktop PC2.33 XD233 Black,Adventure Works,Black,321.05,969,303,Desktops,3,Computers,Australia,Western Australia,2000,2010-01-01,1.2864,1938
1011018,2,2017-10-07,85597,6,1698,7,AUD,Male,COOLANA,Queensland,Australia,Australia,22,SV Hand Games for students E40 Red,Southridge Video,Red,3.56,6.99,701,Boxed Games,7,Games and Toys,Australia,Western Australia,2000,2010-01-01,1.2864,48.93
1011018,3,2017-10-07,85597,6,102,2,AUD,Male,COOLANA,Queensland,Australia,Australia,22,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Silver,52.88,115,106,Bluetooth Headphones,1,Audio,Australia,Western Australia,2000,2010-01-01,1.2864,230
1012000,1,2017-10-08,1978474,0,375,1,USD,Female,Cambridge,Minnesota,United States,North America,54,Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,321.44,699,301,Laptops,3,Computers,Online,Online,0,2010-01-01,1,699
1012000,2,2017-10-08,1978474,0,2089,1,USD,Female,Cambridge,Minnesota,United States,North America,54,Contoso Water Heater 1.5GPM E0800 White,Contoso,White,131.28,257.5,804,Water Heaters,8,Home Appliances,Online,Online,0,2010-01-01,1,257.5
1013000,1,2017-10-09,423898,19,77,2,EUR,Male,Essen,Nordrhein-Westfalen,Germany,Europe,68,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Silver,17.45,37.95,106,Bluetooth Headphones,1,Audio,Germany,Berlin,1295,2015-04-04,0.8514,75.9
1013000,2,2017-10-09,423898,19,1594,1,EUR,Male,Essen,Nordrhein-Westfalen,Germany,Europe,68,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",Germany,Berlin,1295,2015-04-04,0.8514,9.99
1013001,1,2017-10-09,1632062,45,538,1,USD,Male,Rockville,Connecticut,United States,North America,84,WWI CRT17 E106 White,Wide World Importers,White,50.47,99,304,Monitors,3,Computers,United States,Connecticut,2000,2007-07-08,1,99
1013001,2,2017-10-09,1632062,45,41,2,USD,Male,Rockville,Connecticut,United States,North America,84,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Silver,106.69,232,101,MP4&MP3,1,Audio,United States,Connecticut,2000,2007-07-08,1,464
1013001,3,2017-10-09,1632062,45,170,3,USD,Male,Rockville,Connecticut,United States,North America,84,SV 16xDVD M330 Black,Southridge Video,Black,50.13,109,202,VCD & DVD,2,TV and Video,United States,Connecticut,2000,2007-07-08,1,327
1013002,1,2017-10-09,1534954,63,1462,1,USD,Female,Salt Lake City,Utah,United States,North America,54,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso,Black,123.24,268,503,Touch Screen Phones,5,Cell phones,United States,Utah,2000,2008-03-06,1,268
1013004,1,2017-10-09,1567503,0,2050,2,USD,Male,Berlin,Maryland,United States,North America,32,Litware Microwave 2.2CuFt M125 Blue,Litware,Blue,91.97,199.99,803,Microwaves,8,Home Appliances,Online,Online,0,2010-01-01,1,399.98
1013004,2,2017-10-09,1567503,0,2118,5,USD,Male,Berlin,Maryland,United States,North America,32,Contoso Coffee Maker 12C M1000 Black,Contoso,Black,204.64,445,805,Coffee Machines,8,Home Appliances,Online,Online,0,2010-01-01,1,2225
1013006,1,2017-10-09,2063107,44,1603,2,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,SV DVD 7-Inch Player Portable E200 Black,Southridge Video,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Arkansas,2000,2010-06-03,1,219.98
1013006,2,2017-10-09,2063107,44,1614,4,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,SV DVD 14-Inch Player Portable L100 White,Southridge Video,White,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Arkansas,2000,2010-06-03,1,1039.96
1013006,3,2017-10-09,2063107,44,1713,3,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,MGS Zoo Tycoon 2: Extinct Animals M210,Tailspin Toys,Silver,32.25,70.13,702,Download Games,7,Games and Toys,United States,Arkansas,2000,2010-06-03,1,210.39
1013006,4,2017-10-09,2063107,44,2506,2,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Pink,Contoso,Pink,2.42,4.74,505,Cell phones Accessories,5,Cell phones,United States,Arkansas,2000,2010-06-03,1,9.48
1013006,5,2017-10-09,2063107,44,1272,3,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,Contoso Lens Cap Keeper E314 White,Contoso,White,3.54,6.95,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,United States,Arkansas,2000,2010-06-03,1,20.85
1013006,6,2017-10-09,2063107,44,1470,10,USD,Male,Philadelphia,Pennsylvania,United States,North America,62,The Phone Company Smart phones without camera E100 Black,The Phone Company,Black,65.77,129,504,Smart phones & PDAs,5,Cell phones,United States,Arkansas,2000,2010-06-03,1,1290
1013007,1,2017-10-09,994139,36,871,1,GBP,Female,SHARDLOW,Erewash,United Kingdom,Europe,35,Contoso Wireless Laser Mouse E50 White,Contoso,White,10.69,20.96,308,Computers Accessories,3,Computers,United Kingdom,Armagh,1300,2014-07-02,0.7594,20.96
1013007,2,2017-10-09,994139,36,1608,4,GBP,Female,SHARDLOW,Erewash,United Kingdom,Europe,35,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",United Kingdom,Armagh,1300,2014-07-02,0.7594,439.96
1013007,3,2017-10-09,994139,36,1518,2,GBP,Female,SHARDLOW,Erewash,United Kingdom,Europe,35,The Phone Company Smart phones Expert M400 Gold,The Phone Company,Gold,137.96,300,504,Smart phones & PDAs,5,Cell phones,United Kingdom,Armagh,1300,2014-07-02,0.7594,600
1014000,1,2017-10-10,1390639,0,2069,2,USD,Female,Birmingham,Alabama,United States,North America,23,Contoso Microwave 2.2CuFt M0126 Grey,Contoso,Grey,82.77,179.99,803,Microwaves,8,Home Appliances,Online,Online,0,2010-01-01,1,359.98
1014000,2,2017-10-10,1390639,0,938,1,USD,Female,Birmingham,Alabama,United States,North America,23,SV Wireless LAN PCI Network Card Adapter E900 Black,Southridge Video,Black,50.47,99,308,Computers Accessories,3,Computers,Online,Online,0,2010-01-01,1,99
1014000,3,2017-10-10,1390639,0,2406,6,USD,Female,Birmingham,Alabama,United States,North America,23,Proseware Air conditioner 10000BTU M490 Grey,Proseware,Grey,197.74,429.99,807,Air Conditioners,8,Home Appliances,Online,Online,0,2010-01-01,1,2579.94
1014001,1,2017-10-10,71218,4,1707,2,AUD,Male,Montrose,Queensland,Australia,Australia,76,MGS Dal of Honor Airborne M150,Tailspin Toys,Silver,32.25,70.13,702,Download Games,7,Games and Toys,Australia,Tasmania,2000,2010-01-01,1.2846,140.26
1014001,2,2017-10-10,71218,4,1605,1,AUD,Male,Montrose,Queensland,Australia,Australia,76,SV DVD 15-Inch Player Portable L200 Black,Southridge Video,Black,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",Australia,Tasmania,2000,2010-01-01,1.2846,289.99
1014001,3,2017-10-10,71218,4,97,3,AUD,Male,Montrose,Queensland,Australia,Australia,76,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Green,34.36,67.4,106,Bluetooth Headphones,1,Audio,Australia,Tasmania,2000,2010-01-01,1.2846,202.2
